ID,FIRST YEAR RANK,SECOND YEAR RANK C,THIRD YEAR RANK C,FOURTH YEAR RANK C
1974,404,344,343,348
1975,517,406,339,171
1976,535,522,466,428
1977,157,196,179,151
1978,373,318,272,346
1979,319,339,358,245
1980,30,9,12,35
1981,976,990,961,
1982,528,582,659,655
1986,744,587,482,341
1987,493,444,423,
1989,90,121,237,410
1994,834,826,747,735
1996,124,124,188,254
1997,895,871,887,799
1998,573,484,479,423
1999,783,736,722,636
2000,535,477,438,352
2001,231,280,231,429
2002,170,158,127,132
2003,654,830,866,
2004,67,45,58,51
2005,445,455,490,
2006,827,677,632,545
2007,659,692,648,568
2008,982,965,939,
2009,417,422,450,591
2010,407,443,418,334
2011,626,631,618,542
2012,220,279,287,233
2013,381,329,322,350
2015,888,913,876,787
2017,380,335,316,318
2018,144,116,86,111
2019,109,219,288,366
2027,915,881,846,743
2029,192,208,194,195
2032,456,331,320,332
2033,961,947,,
2034,695,689,656,531
2046,209,296,262,273
2049,506,403,368,363
2050,62,86,139,138
2057,520,465,420,324
2058,161,161,142,92
2059,315,263,227,
2060,708,682,654,564
2062,,,,
2063,175,283,324,433
2064,725,776,790,786
2067,564,425,404,365
2069,202,154,131,101
2071,645,563,491,394
2073,10,22,29,28
2075,897,926,901,
2077,579,583,525,487
2080,941,938,895,760
2081,843,869,873,676
2082,36,44,34,13
2083,47,24,18,26
2084,72,32,30,10
2085,258,199,196,115
2087,801,824,808,720
2088,385,272,242,199
2089,922,884,839,788
2090,270,175,141,130
2096,989,988,959,
2098,417,478,518,
2099,372,353,335,303
2104,371,356,336,306
2106,924,915,905,813
2107,503,527,,
2109,912,760,719,629
2110,99,84,59,90
2111,858,818,792,
2112,431,356,286,165
2113,222,162,159,251
2114,142,332,360,325
2115,474,442,406,443
2116,613,585,542,476
2119,605,579,521,503
2120,9,12,13,42
2121,896,912,916,
2122,865,733,671,526
2123,437,569,575,486
2132,638,646,638,679
2135,237,188,168,194
2136,310,276,282,164
2138,512,580,573,436
2141,428,470,445,
2142,855,888,892,
2145,486,513,549,527
2146,606,654,664,651
2147,881,861,842,
2150,637,571,550,409
2152,484,531,491,521
2154,586,679,668,654
2156,572,432,458,434
2157,373,509,506,549
2159,54,142,135,105
2160,378,391,382,340
2162,934,834,823,750
2165,363,351,331,288
2168,310,394,443,541
2169,906,945,919,
2170,455,451,397,378
2171,449,385,390,408
2172,675,721,669,530
2173,331,194,174,100
2174,77,139,130,57
2176,773,717,709,704
2177,547,573,571,566
2178,565,476,428,260
2180,741,707,676,535
2181,213,247,264,296
2182,804,745,734,
2183,315,238,228,216
2187,936,928,894,
2189,155,145,172,241
2190,647,482,429,462
2191,293,273,269,255
2193,597,607,570,495
2194,83,104,110,75
2195,803,714,704,680
2197,791,848,852,768
2205,402,521,486,442
2206,366,310,275,302
2207,607,624,610,610
2210,948,942,909,
2215,133,119,98,91
2216,732,606,607,660
2217,50,71,143,141
2225,515,457,415,328
2227,560,485,447,449
2228,192,185,173,162
2229,272,278,236,298
2230,275,212,202,203
2234,869,900,891,
2235,835,843,864,
2236,891,867,853,751
2239,787,922,918,817
2247,945,931,915,
2253,650,625,636,537
2258,464,381,348,361
2259,120,100,80,63
2260,116,112,144,190
2261,871,812,802,666
2270,183,153,129,136
2271,282,349,374,430
2272,40,52,54,94
2273,680,719,708,692
2274,312,297,285,257
2275,723,766,810,767
2276,356,342,321,305
2278,442,513,523,
2279,665,837,857,796
2280,415,386,381,295
2281,22,21,19,37
2282,778,798,744,
2283,121,163,223,339
2284,601,660,635,616
2285,662,665,701,653
2286,670,747,738,650
2287,472,361,369,268
2288,211,192,195,156
2293,722,795,819,
2294,19,28,49,278
2295,745,760,748,690
2307,32,18,6,3
2308,198,159,156,182
2312,575,620,653,716
2315,754,844,885,
2317,387,345,340,269
2319,5,3,3,8
2320,772,666,614,586
2321,798,778,715,686
2324,833,911,898,816
2325,965,973,956,
2326,263,237,274,282
2327,992,986,942,
2328,648,644,647,642
2330,345,396,427,450
2331,1,1,1,5
2332,130,623,514,472
2333,818,661,604,699
2334,505,440,532,745
2335,569,658,683,601
2336,675,806,755,738
2338,780,749,768,776
2341,180,226,246,452
2342,756,653,619,648
2344,491,404,388,335
2345,20,15,16,56
2346,31,39,75,128
2347,622,627,615,656
2349,300,343,364,349
2350,227,182,211,217
2351,54,114,117,144
2352,759,796,760,645
2353,971,863,820,
2354,573,565,562,519
2355,230,180,146,67
2356,985,992,,
2358,86,54,57,49
2365,333,302,306,321
2457,54,69,62,52
2458,174,174,150,126
2520,851,920,872,
2545,792,705,688,682
2603,856,723,679,543
